import time: self [us] | cumulative | imported package
import time:       194 |        194 |   _io
import time:        50 |         50 |   marshal
import time:       198 |        198 |   nt
import time:        91 |         91 |   winreg
import time:       765 |       1295 | _frozen_importlib_external
import time:       460 |        460 |   time
import time:       275 |        734 | zipimport
import time:       221 |        221 |     _codecs
import time:      1190 |       1410 |   codecs
import time:      1683 |       1683 |   encodings.aliases
import time:      2137 |       5230 | encodings
import time:      1282 |       1282 | encodings.utf_8
import time:       855 |        855 | encodings.cp1252
import time:        64 |         64 | _signal
import time:        57 |         57 |     _abc
import time:       857 |        913 |   abc
import time:       901 |       1813 | io
import time:        94 |         94 |       _stat
import time:       678 |        772 |     stat
import time:      1594 |       1594 |     _collections_abc
import time:       702 |        702 |       genericpath
import time:      1138 |       1839 |     ntpath
import time:      1264 |       5469 |   os
import time:       824 |        824 |   _sitebuiltins
import time:      2452 |       2452 |   _distutils_hack
import time:       904 |        904 |     pywin32_system32
import time:      1650 |       2553 |   pywin32_bootstrap
import time:       445 |        445 |   sitecustomize
import time:       419 |        419 |   usercustomize
import time:      2902 |      15061 | site
import time:       914 |        914 |   core
import time:       914 |        914 |         types
import time:      1435 |       2348 |       enum
import time:        98 |         98 |         _sre
import time:       956 |        956 |           sre_constants
import time:      1069 |       2024 |         sre_parse
import time:       963 |       3084 |       sre_compile
import time:       253 |        253 |           itertools
import time:      1261 |       1261 |           keyword
import time:       106 |        106 |             _operator
import time:      1058 |       1164 |           operator
import time:       901 |        901 |           reprlib
import time:        89 |         89 |           _collections
import time:      1759 |       5426 |         collections
import time:        77 |         77 |         _functools
import time:      1902 |       7404 |       functools
import time:        74 |         74 |       _locale
import time:       972 |        972 |       copyreg
import time:      1165 |      15044 |     re
import time:       383 |      15426 |   core.parser
import time:       920 |        920 |       posixpath
import time:       922 |       1842 |     fnmatch
import time:      1088 |       1088 |     warnings
import time:       106 |        106 |     errno
import time:       886 |        886 |       urllib
import time:      1889 |       2774 |     urllib.parse
import time:      1667 |       7476 |   pathlib
import time:      1319 |       1319 |     stdlib
import time:        97 |         97 |         atexit
import time:      8523 |       8619 |       pygame.base
import time:      1099 |       1099 |       pygame.constants
import time:       771 |        771 |       pygame.version
import time:       698 |        698 |       pygame.rect
import time:       652 |        652 |       pygame.rwobject
import time:       590 |        590 |       pygame.surflock
import time:      1232 |       1232 |         pygame.colordict
import time:       645 |       1877 |       pygame.color
import time:       711 |        711 |       pygame.bufferproxy
import time:      1016 |       1016 |       pygame.math
import time:       776 |        776 |         pygame.surface
import time:       678 |       1453 |       pygame.display
import time:       730 |        730 |       pygame.draw
import time:       685 |        685 |       pygame.event
import time:      1295 |       1295 |         pygame.imageext
import time:       729 |       2024 |       pygame.image
import time:       598 |        598 |       pygame.joystick
import time:       629 |        629 |       pygame.key
